Distance,Speed,RPM,Throttle,Brake,nGear,Driver
1214.5761111111103,66.0,7036.0,0.0,True,1,LEC
1217.9649999999992,61.0,6273.0,0.0,True,1,LEC
1221.0761111111103,56.0,5825.0,0.0,True,1,LEC
1224.6094444444436,53.0,5377.0,0.0,False,1,LEC
1227.4427777777769,51.0,5110.0,2.0,False,1,LEC
1230.7094444444435,49.0,5451.0,14.0,False,1,LEC
1232.753888888888,46.0,5847.0,17.0,False,1,LEC
1236.0872222222213,50.0,5819.0,25.0,False,1,LEC
1242.3094444444434,56.0,7037.0,40.0,False,1,LEC
1245.6427777777767,60.0,7808.0,46.0,False,1,LEC
1250.0427777777768,66.0,8068.0,49.0,False,1,LEC
1254.9094444444434,73.0,9438.0,61.0,False,1,LEC
1258.5538888888877,82.0,10227.0,67.0,False,1,LEC
1262.4205555555543,87.0,10308.0,69.0,False,1,LEC
1269.2205555555543,102.0,9208.0,73.0,False,1,LEC
1275.1094444444432,106.0,9172.0,0.0,True,2,LEC
1279.5538888888875,100.0,8639.0,0.0,True,2,LEC
1288.779444444443,92.0,7442.0,0.0,True,2,LEC
1292.5572222222208,85.0,7241.0,0.0,True,2,LEC
1296.2672222222209,84.0,7241.0,0.0,False,2,LEC
1306.4116666666653,83.0,7515.0,32.0,False,2,LEC
1310.1005555555541,83.0,7719.0,37.0,False,2,LEC
1314.7672222222209,84.0,8307.0,48.0,False,2,LEC
1318.7672222222209,90.0,8300.0,56.0,False,2,LEC
1329.2672222222209,105.0,9300.0,80.0,False,2,LEC
1337.0005555555542,116.0,10980.0,89.0,False,2,LEC
1348.467222222221,129.0,11059.0,23.0,True,2,LEC
1356.467222222221,120.0,10375.0,1.0,True,2,LEC
1362.578333333332,110.0,9115.0,2.0,True,2,LEC
1368.189444444443,101.0,8650.0,0.0,True,2,LEC
1373.6338888888874,98.0,8524.0,5.0,False,2,LEC
1381.989444444443,94.0,8215.0,0.0,True,2,LEC
1388.0561111111097,91.0,7821.0,8.0,False,2,LEC
1395.0561111111097,90.0,8138.0,29.0,False,2,LEC
1406.6672222222207,95.0,8904.0,62.0,False,2,LEC
1416.4449999999986,110.0,10646.0,80.0,False,2,LEC
