Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,LapTimeSeconds,Season,GrandPrix
VER,Red Bull Racing,1.0,0 days 00:01:23.080000,MEDIUM,1.0,1.0,1.0,83.08,2023,China
VER,Red Bull Racing,2.0,0 days 00:01:18.075000,MEDIUM,2.0,1.0,1.0,78.075,2023,China
VER,Red Bull Racing,3.0,0 days 00:01:17.767000,MEDIUM,3.0,1.0,1.0,77.767,2023,China
VER,Red Bull Racing,4.0,0 days 00:01:17.203000,MEDIUM,4.0,1.0,1.0,77.203,2023,China
VER,Red Bull Racing,5.0,0 days 00:01:17.371000,MEDIUM,5.0,1.0,1.0,77.371,2023,China
VER,Red Bull Racing,6.0,0 days 00:01:17.607000,MEDIUM,6.0,1.0,1.0,77.607,2023,China
VER,Red Bull Racing,7.0,0 days 00:01:17.565000,MEDIUM,7.0,1.0,1.0,77.565,2023,China
VER,Red Bull Racing,8.0,0 days 00:01:32.655000,MEDIUM,8.0,1.0,1.0,92.655,2023,China
VER,Red Bull Racing,9.0,0 days 00:01:17.495000,MEDIUM,9.0,1.0,1.0,77.495,2023,China
VER,Red Bull Racing,10.0,0 days 00:01:17.359000,MEDIUM,10.0,1.0,1.0,77.359,2023,China
VER,Red Bull Racing,11.0,0 days 00:01:17.268000,MEDIUM,11.0,1.0,1.0,77.268,2023,China
VER,Red Bull Racing,12.0,0 days 00:01:33.192000,MEDIUM,12.0,1.0,1.0,93.192,2023,China
VER,Red Bull Racing,13.0,0 days 00:02:29.911000,HARD,1.0,2.0,1.0,149.911,2023,China
VER,Red Bull Racing,14.0,0 days 00:02:04.639000,HARD,2.0,2.0,1.0,124.639,2023,China
VER,Red Bull Racing,15.0,0 days 00:01:54.677000,HARD,3.0,2.0,1.0,114.677,2023,China
VER,Red Bull Racing,16.0,0 days 00:02:14.905000,HARD,4.0,2.0,1.0,134.905,2023,China
VER,Red Bull Racing,17.0,0 days 00:01:17.145000,HARD,5.0,2.0,1.0,77.145,2023,China
